time stamp,user,full text,image url
Tue Dec 18 23:56:35 +0000 2018,KaylaOnCall,"b'My favorite way to look at your pretty eyes, is when I look between my legs as I sit on your face 770-727-1516 #atlantaescort #dinnerdate #georgia #eroticmassage #companion #gfe #pse #escort #curvy #busty #incall #outcall #bodyrub #elite #upscale #brunette #sensualmassage'",no url
Tue Dec 18 23:55:06 +0000 2018,MckEscorts,"b""Last chance for some #LateNight #Company. Our lines are open until 1AM with ladies available for Incalls or Outcalls in #Manchester #Sheffield #Leeds &amp; surrounding areas. Don't be lonely - call NOW for #Companionship with a beautiful #Escort.\\nhttps://t.co/6quGWGqTDN\\n#GFE https://t.co/k7Aaeu1YYa""",http://pbs.twimg.com/media/DuvMZB8WwAI9gQt.jpg
Tue Dec 18 23:49:15 +0000 2018,ala_mhinyan,"b""C'arha, you're \\na- whoa bitch we don't want any switches here!\\nC'tolemy, you're \\na bottom.\\n\\nOne of these things is right and the other is wrong. &lt;:3c""",no url
Tue Dec 18 23:47:34 +0000 2018,UKhotescorts,b'New in Skokka!!!\\nTamara New  Hot and Horny Outcall GFE 100% REAL \\nhttps://t.co/Y47nmSYK12\\nMore ads here: https://t.co/f4fAHTNt6u\\n#Skokka #escort #callgirl #companion #UKEscort\\n@Skokka_UK https://t.co/d0lLdV4lVc',http://pbs.twimg.com/media/DuvKqobUYAAMIjZ.jpg
Tue Dec 18 23:45:40 +0000 2018,punahedan,"b""oh. it smells very strongly because it's started leaking over the edge a bit and onto the bottom of my oven.... so that's gonna be a bitch to scrub. \\U0001f643""",no url
Tue Dec 18 23:37:21 +0000 2018,FLRelaxation,"b""Today's Daily Schedule \\U0001f48b\\n#FloridaRelaxationStudios #FinalTouchStudiosSarasota #TheRitzStudiosTampa #LeatherAndLaceLargo \\n#TampaEscort #SarasotaEscort #BodyRubs #Relaxation #Companion #TodaysModels #DailySchedule #AdultEntertainment #GFE #FetishFriendly https://t.co/53S0tFmM4N""",http://pbs.twimg.com/media/DuvIT1tVYAAIACp.jpg
Tue Dec 18 23:35:19 +0000 2018,BryReyxox,b'Really excited about these photos from @DannyGirlMTL !! \\n\\nAlso Im available for work lots this week so come visit! \\U0001f48b\\U0001f48b\\n\\n#massage #gfe #sw #escort #montrealescorts #model #sexy #altgirl #girlswithtattoos #sexwork #montrealcourtesan https://t.co/Ex3dtTO0js',http://pbs.twimg.com/media/DuvH22EWkAEr8f0.jpg
Tue Dec 18 23:34:00 +0000 2018,hpewrldz,b'this white lady gave me attitude bc the bottom of a set was missing but it was actually on a mannequin n she asked for the manager n my manager said the same shit so now we gave this thot 50% discount for a \\u201cdamaged\\u201d item n tell me why this bitch still mad bc the line is long \\U0001f5ff',no url
Tue Dec 18 23:21:49 +0000 2018,rachaellepapaya,"b'Made finals my bottom bitch this quarter. Thank u, next!!'",no url
Tue Dec 18 23:10:22 +0000 2018,ctrigueros1895,"b'@JesusMartinMx pues si tampoco quieres la guardia nacional, ni el ejercito de manera ilegal en las calles como tu gfe calderon lo hizo, que quieres? ningun chile te embona'",no url
Tue Dec 18 23:06:15 +0000 2018,beckbodi,"b""Whats cookin' fuckos, i'm back to say that i would obliterate Jerome Valeska's ass. He is my bitch bottom and eats assorted seeds from my hands but only if i give him permission to.""",no url
Tue Dec 18 23:04:15 +0000 2018,mariana_laradej,b'D\\xedganme algo m\\xe1s castroso que mi hermana y mi gfe',no url
Tue Dec 18 23:03:13 +0000 2018,GiordaniKarma,b'Hiiii my 7pm /EST show will be postponed at 8pm/EST due to my busy schedule in #Boston #tour #camsoda #playwithme #pornstar #masturbation #dildos #toys #cumhard #fetish #gfe #latina See you later guys !!',no url
Tue Dec 18 23:00:12 +0000 2018,hoonoluulu,b'@sophizambrano Mi gfe me hubiera mandado alv',no url
Tue Dec 18 22:53:26 +0000 2018,Dlow_Potentate,b'I\\u2019m really from the bottom bottom so yea I\\u2019m obsessive bitch',no url
Tue Dec 18 22:52:28 +0000 2018,lwtrings,b'YES BITCH BOTTOM LOUIS RISE',no url
Tue Dec 18 22:52:06 +0000 2018,devilchildmeg,b'Bitch I\\u2019d be mad too if the top of my body was bigger then the bottom \\U0001f927',no url
Tue Dec 18 22:46:41 +0000 2018,vadda06,b'@andrescornav @tacodespagueti En mi trabajo hay un morro que tambi\\xe9n se toma sus chochos \\nComo no es mi gfe me rei cuando lo dijo',no url
Tue Dec 18 22:44:38 +0000 2018,pattyinzunza72,b'Le ense\\xf1\\xe9 mi nuevo piercing a mi mam\\xe1 y autom\\xe1ticamente se convirti\\xf3 en mi c\\xf3mplice gg; \\xf3sea no se tiene que enterar mi gfe',no url
Tue Dec 18 22:33:39 +0000 2018,QuenbyAleta,b'Morning sex yuk\\U0001f4a6\\n\\nRR? By DM\\U0001f4e9\\n\\nBantu up \\n@justretweet2_ @justpremium2 @justretweet69 \\n\\n#openbojakarta #BookingNow #AVAILforBO #includeroom #GFE #AvailJaksel #BookingJakarta #Recomended4BO #bispakjkt #bispakjakarta #REAL4BO #SANGE_AAAAAAAAAAH',no url
Tue Dec 18 22:31:58 +0000 2018,SN_Monkey,b'@IamAmazingLucas @Raindropsare @Thatboyynoah @insomniacgames @XWolf01 @bryanintihar @JamesStevenson It\\u2019s literally the logo that game used in 2016.\\nThe current logo for the game is excitably the same but with a little bitch at the bottom.\\nThere are several others that also look like that.\\nStop being a little baby and get over it.',no url
Tue Dec 18 22:30:13 +0000 2018,RoseBlackxox,b'@MrMitchSterling @sekushistudios @Blaire_GFE Thanks @sekushistudios',no url
Tue Dec 18 22:29:48 +0000 2018,aka_blonde,b'New Number!! 613-912-5711 #ottawaescort #escort #incall #outcall #blonde #bigboob #NSA #gfe #pse https://t.co/WouUEzKzK4',http://pbs.twimg.com/media/Duu41WkUYAADedV.jpg
Tue Dec 18 22:27:11 +0000 2018,NaughtyKIDX,b'FR \\u221a #vania_bdg2\\n\\xa9NK\\n\\nFACE : 6\\nBODY : 6\\nBoobs : 6\\nFK : -\\nBJ : -\\nHJ : -\\nFJ : -\\nGFE : -\\nATT : 5\\nDC : 6\\nRO : Big No\\n\\nFoto di media banyak yg tdk sesuai realita. Modus lama ditanya avail bilang iya after dtg nyamperin mendadak mens &amp; dioper ke temannya. Kemungkinan akun dipegang GM. https://t.co/StBWBOCibD',http://pbs.twimg.com/media/Duu4Q0sU0AApuyo.jpg
Tue Dec 18 22:24:10 +0000 2018,yvngjuulpod,"b'@mizedub Go to any soda choice. Press a triangle which opens the bottom door, pull a tiny switch which opens the main door. From there im turning the whole bitch off'",no url
