time stamp,user,full text,image url,Flag
Sat Dec 15 23:54:16 +0000 2018,valeriaitsme,b'Mka una trabajadora de mi mam\\xe1 le escribe dizque \\u201cgfe estoy muy enferma ya estoy lista para ir a trabajar pero no soy capaz\\u201d esta tan borracha que no sabe que entra hasta ma\\xf1ana a las 7am JAJSJAJSHAJHSJAHSJHAJAHAJAHAJAJAJAJAAHAH.',no url,Y
Sat Dec 15 23:52:09 +0000 2018,QuenbyAleta,"b'Morning sex yuk say,sudah avail\\U0001f495\\nCOD,NO DP!\\n\\n#AVAIL4BOOKING #includejaksel #openbokalcit #cewekbisyar #ceweBO #openbojaksel #GFE #bisyarJaksel #bisyarJaksel #excluderoom #ExpoJAKSEL #CODBO4 #BookingNow https://t.co/osAmnqJ15b'",http://pbs.twimg.com/media/Dufu8F0UUAEdmaT.jpg,Y
Sat Dec 15 23:51:23 +0000 2018,drinaar28,b'Ni yo s\\xe9 de qui\\xe9n es gfe https://t.co/HjESaiGYsp',no url,N
Sat Dec 15 23:45:47 +0000 2018,_graceeee19,"b'\\u201cI don\\u2019t trust a nigga, bottom line. And I don\\u2019t trust a bitch, bottom line. Just because she on your ride doesn\\u2019t mean she\\u2019s a ride or die. Your worst enemy could be right by your side.\\u201d'",no url,N
Sat Dec 15 23:35:33 +0000 2018,Ricki_Villz,"b'THIS IS WHY I FUCKING HATE ALL OF YOU FROM THE BOTTOM OF MY FUCKING HEART, YES EVEN YOU BITCH!!!! https://t.co/PkkVKGfL7e'",no url,N
Sat Dec 15 23:32:36 +0000 2018,Demon_Dantanian,"b'@Dr_Britain Tbf, you can do. Usually as part of their gfe. It\\u2019s rolled in as part of the multi hour deal.'",no url,N
Sat Dec 15 23:29:21 +0000 2018,HackProphet,"b""(my turn in a rap battle)\\nwell I'm a big fat dumbass and I'm ugly as shit\\nI'm a piss poor bottom feeding son of a bitch I'm--""",no url,N
Sat Dec 15 23:27:08 +0000 2018,tyler_ryser25,"b'It might be lonely at the top, but it\\u2019s a bitch at the bottom \\U0001f943'",no url,N
Sat Dec 15 23:22:52 +0000 2018,TipoYair,b'Gfe me compr\\xe9 unos tenis rosados jajajajajajajajaja pero est\\xe1n bien vergas',no url,N
Sat Dec 15 23:21:35 +0000 2018,HollyWo15561187,b'This girls in Regina until Dec 23rd now! ....Ready and waiting to be your naughty librarian\\U0001f608 @cafreviews_com @discreetlist \\n#roleplay #fetish #naughty #gfe https://t.co/PNIadHS1Jp',http://pbs.twimg.com/media/Dufn8DpU8AAuJHI.jpg,N
Sat Dec 15 23:21:15 +0000 2018,KaylaOnCall,b'Come Let Kayla Put That Pep Back in Your Step. 770-727-1516 #atlantaescort #dinnerdate #georgia #eroticmassage #companion #gfe #pse #escort #curvy #busty #incall #outcall #travelcompanion #bodyrub #elite #upscale #brunette #sensualmassage',no url,N
Sat Dec 15 23:21:10 +0000 2018,marrdzz97,b'Jolvvvvvv no te enganches gfe',no url,N
Sat Dec 15 23:12:20 +0000 2018,ElenaofVegas,b'Looking for a GFE provider in Vegas? Check out my website to see if we\\u2019ll be a match \\U0001f61c https://t.co/wBH07PI4gz',no url,N
Sat Dec 15 22:55:26 +0000 2018,bestadultads,"b'New hot babe with fantastic gfe with a lot of extras!: Hi my name is Mina, 22 yrs old, size\\u2026 https://t.co/iFqJAUUEVS'",no url,N
Sat Dec 15 22:55:11 +0000 2018,Xochilover,b'Acabo de dar el rol por el centro de #Xochimilco y que me encuentro a mi gfe que hoy se report\\xf3 enfermo -.-',no url,N
Sat Dec 15 22:49:46 +0000 2018,FuckOffPit,"b'\\u201cTo anyone complaining to me denying they\\u2019re a bottom, it just proves more that you\\u2019re a bottom cause whining and moaning are bitch tendencies and that makes you a bratty bottom.\\u201d Shrugs.'",no url,N
Sat Dec 15 22:49:09 +0000 2018,RowdyRez69,"b""J zero'd this bad boy today\\U0001f60a\\nHaven't been out shooting in a while \\U0001f60a\\n#knockthedustoff #murica #obligatoryshootingphotoforsocialmedia #ontherange #gfe #bfe #problemsmakemydicksoft @ Shoal\\u2026 https://t.co/s9xad8xNlG""",no url,N
Sat Dec 15 22:48:15 +0000 2018,N_aom1,b'In #RedDeer tomorrow!  \\U0001f60b\\n\\nSun Dec.16 ~ 6pm - 11pm\\nMon Dec.17 ~ 11am - 11pm\\nTues Dec.18 ~ 11am - 11pm\\n\\nhttps://t.co/5zgQQyMGkQ  \\n\\n@cafreviews_com @CafNotaclue @LeoListcc \\n#albertaescort #reddeerescort #flymetoyou #GFE #PSE \\n\\n\\U0001f4de 1-403-869-9613\\nxo Naomi https://t.co/BvyRggODgS',http://pbs.twimg.com/ext_tw_video_thumb/1074073570026778624/pu/img/P1Gqg9rkW19GoBXx.jpg,N
Sat Dec 15 22:30:40 +0000 2018,JakobJax303,b'2 twinks turn str8 latino into bottom bitch https://t.co/mveISgC2c2',no url,N
Sat Dec 15 22:29:02 +0000 2018,Giovanna_Tamayo,"b'Nocierto, gfe https://t.co/sJEh4WI2ka'",http://pbs.twimg.com/media/Dufb6O1UYAA7Jdj.jpg,N
Sat Dec 15 22:16:03 +0000 2018,yoshisass,"b'i really am, from the bottom of my heart, a dumb bitch'",no url,N
Sat Dec 15 22:14:29 +0000 2018,alliebabymgf,b'@AspynGrace Hahaha \\n\\nOffer GFE!',no url,N
Sat Dec 15 22:11:35 +0000 2018,MeganMarie479,"b""Tomorrow starts my OFFICIAL Birthday Week!.... you don't wanna miss catching me in my BIRTHDAY SUIT! DENVER til 12/17 then #chicago 12/18-12/20.... then back in #Denver 12/21-12/27!\\n28 was GREAT! But 29 will be TOP OF THE LINE! \\n#DENVER #Chi #COMPANION #SWLISTING #GFE #VIP #DTC https://t.co/RNm1zcPNbM""",http://pbs.twimg.com/media/DufX2oSUYAARioR.jpg,N
Sat Dec 15 22:08:04 +0000 2018,MovimentaCC,"b""Congratulazioni a Giovent\\xf9 Federalista Europea Gfe/Jef Italy per il lancio della campagna #EURevolution che adesso ha anche un bellissimo logo, sulla strada verso le #elezionieuropee2019 L'articolo Congratulazioni a Giovent\\xf9 Federalista Europea \\u2026\\u2026 https://t.co/GtlSwzMXdz https://t.co/sjtLEDdHqB""",http://pbs.twimg.com/media/DufXIANVAAEZukR.jpg,N
Sat Dec 15 22:05:35 +0000 2018,karymetg,b'@karlanarvaezv Mi gfe ahi sale',no url,N
Sat Dec 15 21:57:33 +0000 2018,RookiiURN,"b'I like fucking wit people during sex.. I\'ll be poking the bottom and say some shit like be quiet my my dick little. usually I\'ll get a stfu no it ain\'t back.... I said that shit one time this bitch gone say "" but you know how to use it"" https://t.co/1aUiVbVAjL'",http://pbs.twimg.com/tweet_video_thumb/DufUthaU0AA_8IP.jpg,N
Sat Dec 15 21:57:18 +0000 2018,RGMP8,b'ET ON SERA L\\xc0 W/ @louise_gfe \\U0001f57a\\U0001f3fb https://t.co/d5dkzDmSmV',no url,N
Sat Dec 15 21:54:08 +0000 2018,murmaiderr_,"b'@Jessbare_ get ""over it"" on the top lip and ""bitch \\U0001f495"" on the bottom'",no url,N
Sat Dec 15 21:47:58 +0000 2018,IvyRockyHorror,b'This bitch keeps bugging about Bikini Bottom mysteries so I guess that\\u2019s the plan for rn rn',no url,N
Sat Dec 15 21:42:52 +0000 2018,LaHijaDMiMadre,b'Mi actual gfe me dijo que el gfe de los s\\xe1bados es un pendejo x no ofrecerme m\\xe1s dinero para que me quedara de planta. Y me pregunto que es lo que me hacia falta en la oficina para estar m\\xe1s a gusto. La pr\\xf3xima semana estrenamos micro ggg',no url,N
Sat Dec 15 21:40:57 +0000 2018,aurorasinz,b'Energetic wild and horny! Cum play with me gentlemen available now @SpaWhyte you deserve this!! \\U0001f48bbook today \\U0001f48b@cafreviews_com @VIPFavours @NightAwayCanada @LeoListcc #Wild #horny #bodyrubyeg #EroticMassage #edmontonescort #GFE #tight \\U0001f351#bootylovers retweet\\u2019s appreciated \\U0001f48b\\U0001f48b\\U0001f48b https://t.co/BfpKg7YaC5',http://pbs.twimg.com/media/DufQ6efUwAAXuYm.jpg,N
Sat Dec 15 21:40:34 +0000 2018,briasux,b'same guys caping for kanye cuz they \\u201ccare about mental heath\\u201d will quickly and happily call u a crazy bitch for having like bottom dollar depression lmao',no url,N
Sat Dec 15 21:34:09 +0000 2018,SouthParkAQuote,"b'""Sally, you are my bottom bitch.""'",no url,N
